,x7,x90,x109,x117,x41,x8,x1,x94,x60,x59,x71,x86,x50,x49,x63,x88,x84,x124,z110,x23,x68,x24,x46,x64,x93,x35,x27,x140,x75,x103,x104,x123,x83,x105,x106,x174,x151,x97,x89,x137,x119,x111,x148,x116,x131
x7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
x90,1,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
x109,0,0,0,1,0,0,0,2,1,2,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,2,2,0,0,2,1,2,0,2,2,1,0,0,1,0,2,0
x117,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,2,2,0,0,1,0,1,1,1,1,0,1,0,0,1,0
x41,0,4,0,1,0,3,4,0,2,0,0,1,0,0,1,2,0,0,1,1,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
x8,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,2,0,0
x1,0,0,0,2,4,0,0,4,1,1,1,0,0,0,1,2,1,0,0,2,0,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,0
x94,0,0,2,0,0,0,4,0,1,1,0,1,0,1,3,2,0,0,1,0,1,0,1,0,0,0,1,0,0,2,1,1,1,0,0,0,0,2,0,1,0,1,1,0,0
x60,0,0,1,0,2,0,1,1,0,5,3,3,0,0,1,0,0,0,2,0,0,0,1,2,2,0,4,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,2,0,1
x59,0,0,2,0,0,0,1,1,5,0,1,1,1,0,0,0,1,0,1,0,1,2,1,6,3,0,0,1,2,2,2,0,1,0,0,1,0,0,2,2,3,2,0,1,0
x71,0,2,0,1,0,3,1,0,3,1,0,0,2,0,4,1,1,0,4,3,0,1,0,2,1,0,2,1,1,2,1,4,0,1,1,1,0,0,2,1,1,2,2,0,1
x86,0,0,0,1,1,1,0,1,3,1,0,0,3,1,0,0,4,0,3,0,0,1,2,1,2,1,0,0,4,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,1
x50,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1,2,0,0,0,1,1,0,0,2,0,2,1,1,0,1,0,0,0,1,1,3,3,1,1,2,2,0
x49,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,2,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,2,1,0,2,0,0,0,1,2,0,0
x63,1,0,1,0,1,0,1,3,1,0,4,0,0,0,0,1,0,3,0,1,2,1,3,2,3,0,0,0,3,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,1
x88,0,0,1,0,2,0,2,2,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
x84,0,1,0,0,0,0,1,0,0,1,1,4,0,2,0,1,0,0,2,0,0,1,0,2,0,2,1,1,0,1,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1
x124,1,0,0,1,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,2,1,1,0,3,1,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,0,0,2,1,0
z110,0,0,0,2,1,0,0,1,2,1,4,3,2,2,0,0,2,0,0,1,0,0,1,1,3,0,0,1,1,5,0,3,0,1,0,1,1,1,1,0,0,0,1,0,2
x23,0,2,0,0,1,0,2,0,0,0,3,0,0,1,1,1,0,2,1,0,1,2,0,1,0,0,1,2,2,2,0,2,0,3,0,0,0,2,6,0,0,0,0,1,2
x68,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1,0,0,2,1,1,4,1,2,2,2,0,1,1,0,2,0,2,0,0,1,0,0,1,0,0
x24,0,0,0,2,0,0,3,0,0,2,1,1,0,0,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1
x46,0,1,1,0,2,0,0,1,1,1,0,2,1,0,3,0,0,0,1,0,2,1,0,1,0,4,0,2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1
x64,0,0,1,1,1,1,0,0,2,6,2,1,1,0,2,1,2,3,1,1,1,0,1,0,3,1,1,1,0,1,3,1,0,2,1,1,1,1,1,0,0,2,1,3,0
x93,0,0,0,0,0,1,0,0,2,3,1,2,0,0,3,0,0,1,3,0,1,0,0,3,0,0,1,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,2,0,1
x35,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,4,0,4,1,0,0,0,0,2,1,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0
x27,0,5,0,0,0,1,0,1,4,0,2,0,2,0,0,0,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1
x140,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,1,2,2,0,2,1,1,0,2,0,2,3,0,1,1,1,0,2,0,0,1,0,0,1,0,0,2
x75,0,0,2,0,0,0,1,0,0,2,1,4,2,1,3,0,0,0,1,2,2,0,0,0,1,2,0,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,1,2
x103,0,1,2,2,0,1,0,2,1,2,2,0,1,1,0,0,1,0,5,2,2,1,1,1,1,1,0,3,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,2,2
x104,0,0,0,2,0,0,1,1,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,3,0,4,0,0,0,1,0,5,0,5,4,3,1,2,5,1,1,1,2,0,1
x123,1,0,0,0,1,0,0,1,1,0,4,0,0,1,2,0,0,0,3,2,1,0,0,1,0,1,1,1,3,0,5,0,1,2,0,0,1,1,4,0,0,1,0,1,2
x83,0,0,2,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,2,1,0,1
x105,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,3,0,1,0,2,0,1,0,1,0,1,5,2,3,0,1,6,2,0,1,3,0,2,1,5,1
x106,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,1
x174,0,0,0,1,0,1,0,0,1,1,1,2,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,2,0,0,3,0,0,6,0,0,0,0,0,0,1,3,2,0,1
x151,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0
x97,0,0,2,1,0,2,0,2,0,0,0,1,1,2,2,0,0,3,1,2,0,0,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,3,0,2,0,1
x89,0,0,1,1,1,2,1,0,1,2,2,0,3,0,2,2,1,0,1,6,0,0,1,1,1,1,0,1,0,1,5,4,0,1,0,0,0,0,0,1,1,3,2,0,1
x137,0,0,0,0,0,0,0,1,1,2,1,0,3,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,2,0,1,1,1
x119,0,1,0,1,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,2,0,1,0,0,0
x111,1,0,1,0,0,0,1,1,0,2,2,1,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,2,2,0,3,1,0,3,0,1,0,2,5,0
x148,0,1,0,0,0,2,0,1,2,0,2,0,2,2,0,0,0,2,1,0,1,0,1,1,2,0,5,0,1,0,2,0,1,1,0,2,0,2,2,1,0,2,0,1,0
x116,0,0,2,1,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,2,0,1,0,5,2,0,0,0,0,1,0,5,1,0,1
x131,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,1,1,0,2,2,0,1,1,0,1,0,1,2,2,2,1,2,1,1,1,1,0,1,1,1,0,0,0,1,0
